"Name","Directory","SizeMB","CreationTime","LastWriteTime","LastAccessTime","Attributes"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\truststore-0.10.1-pyh29332c3_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\reproc-cpp-14.2.5.post0-he0c23c2_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\ruamel.yaml.clib-0.2.8-py312h4389bb4_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\ruamel.yaml-0.18.10-py312h4389bb4_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\requests-2.32.3-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\tzdata-2025b-h78e105d_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\win_inet_pton-1.1.0-pyh7428d3b_8\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\yaml-cpp-0.8.0-he0c23c2_0\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\zstandard-0.23.0-py312h4389bb4_2\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\wheel-0.45.1-pyhd8ed1ab_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
"repodata_record.json","C:\Users\User\LocalAISetup\text-generation-webui\installer_files\conda\pkgs\ucrt-10.0.22621.0-h57928b3_1\info","0.00","2025-05-10 4:23:12 PM","2025-05-10 4:23:12 PM","2025-08-27 7:24:23 PM","Archive"
