"Name","Directory","Length","LastWriteTime","LastAccessTime","Attributes","Owner"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatUaCache","0","2025-09-18 11:39:09 PM","2025-09-18 11:39:09 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\IECompatCache","0","2025-09-18 11:39:09 PM","2025-09-18 11:39:09 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"IECompatCache",,,"2025-09-18 11:39:09 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Microsoft\Windows\History\History.IE5\MSHist012025090820250915","0","2025-09-15 12:00:05 AM","2025-09-15 12:00:05 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"MSHist012025090820250915",,,"2025-09-15 12:00:05 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"settings.dat.LOG2","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.DevHome_8wekyb3d8bbwe\Settings","0","2025-09-14 2:35:09 PM","2025-09-14 2:35:09 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"settings.dat.LOG1","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.DevHome_8wekyb3d8bbwe\Settings","8192","2025-09-14 2:35:09 PM","2025-09-14 2:35:09 PM","Hidden, System, Archive","DESKTOP-RVD6TK8\User"
"desktop.ini","C:\Users\User\AppData\Roaming\Microsoft\Windows\Start Menu\Programs","264","2025-09-13 6:51:03 AM","2025-10-02 8:58:01 PM","Hidden, System","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-12 12:22:58 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCache",,,"2025-09-11 12:55:39 AM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"C6BIXQJF",,,"2025-09-08 12:02:50 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\AC\AppCache\C6BIXQJF","0","2025-09-08 12:02:50 AM","2025-09-08 12:02:50 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"AppCache",,,"2025-09-08 12:02:50 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"DOMStore",,,"2025-09-08 12:02:48 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\INetCookies\ESE","0","2025-09-06 8:26:11 PM","2025-09-06 8:26:11 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"ESE",,,"2025-09-06 8:26:11 PM","2025-10-03 5:28:16 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"INetCookies",,,"2025-09-06 8:26:11 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"B81AQUPI",,,"2025-09-06 8:23:25 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"5W424IEE",,,"2025-09-06 8:23:25 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"9QV6YQ99",,,"2025-09-06 8:23:25 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"1MN1KI51",,,"2025-09-06 8:23:25 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"DOMStore",,,"2025-09-06 8:23:25 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\INetCookies","0","2025-09-06 8:23:25 PM","2025-09-06 8:23:25 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"AppCache",,,"2025-09-06 8:23:24 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\AppCache\74KOECYQ","0","2025-09-06 8:23:24 PM","2025-09-06 8:23:24 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"WebCache.old",,,"2025-09-06 5:59:52 PM","2025-10-03 5:44:42 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"PANNJI6E",,,"2025-09-06 9:40:07 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"desktop.ini","C:\Users\User\OneDrive","95","2025-09-06 9:06:10 AM","2025-10-03 5:31:25 AM","Hidden, System","DESKTOP-RVD6TK8\User"
"27",,,"2025-09-06 9:04:03 AM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\AppCache\PANNJI6E\27","0","2025-09-06 9:04:01 AM","2025-09-06 9:04:01 AM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
"WW34W9WR",,,"2025-09-02 11:48:43 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"SDXI931L",,,"2025-09-02 11:48:43 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"NIC1YWC6",,,"2025-09-02 11:48:41 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"KZG0PM2F",,,"2025-09-02 11:48:38 PM","2025-10-03 5:44:43 AM","Hidden, System, Directory, NotContentIndexed","DESKTOP-RVD6TK8\User"
"container.dat","C:\Users\User\AppData\Local\Packages\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\AC\INetCookies","0","2025-09-02 11:48:37 PM","2025-09-02 11:48:37 PM","Hidden, System, Archive, NotContentIndexed","DESKTOP-RVD6TK8\User"
